timestamp,open,high,low,close
2025-04-09T12:42:14.323302,402.64,402.85,402.3,402.6
2025-04-09T12:57:14.323302,402.22,402.79,401.68,402.23
2025-04-09T13:12:14.323302,402.89,403.14,402.48,402.84
2025-04-09T13:27:14.323302,402.03,402.34,401.58,401.98
2025-04-09T13:42:14.323302,402.03,402.33,401.5,401.95
2025-04-09T13:57:14.323302,402.54,402.86,402.05,402.48
2025-04-09T14:12:14.323302,402.81,403.01,402.21,402.68
2025-04-09T14:27:14.323302,402.7,403.07,402.42,402.73
2025-04-09T14:42:14.323302,402.96,403.33,402.71,403.0
2025-04-09T14:57:14.323302,402.1,402.72,401.59,402.14
2025-04-09T15:12:14.323302,402.81,403.37,402.34,402.84
2025-04-09T15:27:14.323302,402.97,403.36,402.5,402.94
2025-04-09T15:42:14.323302,405.2,407.0,404.7,406.8
2025-04-09T15:57:14.323302,402.83,403.34,402.2,402.79
2025-04-09T16:12:14.323302,402.58,403.13,402.35,402.69
2025-04-09T16:27:14.323302,402.23,402.57,401.99,402.26
2025-04-09T16:42:14.323302,402.23,402.48,401.89,402.2
2025-04-09T16:57:14.323302,402.64,403.02,402.25,402.63
2025-04-09T17:12:14.323302,402.21,402.54,401.54,402.1
2025-04-09T17:27:14.323302,402.65,403.15,402.36,402.72
2025-04-09T17:42:14.323302,402.73,403.01,402.34,402.69
2025-04-09T17:57:14.323302,402.99,403.51,402.51,403.0
2025-04-09T18:12:14.323302,400.0,400.5,400.0,400.4
2025-04-09T18:27:14.323302,402.68,403.31,402.1,402.7
2025-04-09T18:42:14.323302,402.23,402.45,401.87,402.18
2025-04-09T18:57:14.323302,402.27,402.57,401.6,402.15
2025-04-09T19:12:14.323302,402.88,403.23,402.35,402.82
2025-04-09T19:27:14.323302,402.4,403.05,401.97,402.47
2025-04-09T19:42:14.323302,402.26,402.59,401.78,402.21
2025-04-09T19:57:14.323302,402.26,402.76,401.61,402.21
2025-04-09T20:12:14.323302,402.4,402.71,401.7,402.27
2025-04-09T20:27:14.323302,402.51,402.75,402.29,402.52
2025-04-09T20:42:14.323302,405.2,407.0,404.7,406.8
2025-04-09T20:57:14.323302,402.11,402.62,401.51,402.08
2025-04-09T21:12:14.323302,402.42,402.65,402.03,402.37
2025-04-09T21:27:14.323302,403.0,403.46,402.31,402.92
2025-04-09T21:42:14.323302,402.86,403.07,402.3,402.74
2025-04-09T21:57:14.323302,402.68,403.15,402.35,402.73
2025-04-09T22:12:14.323302,402.64,402.9,402.22,402.59
2025-04-09T22:27:14.323302,402.45,403.13,401.82,402.47
2025-04-09T22:42:14.323302,402.26,402.71,401.97,402.32
2025-04-09T22:57:14.323302,402.91,403.55,402.56,403.01
2025-04-09T23:12:14.323302,400.0,400.5,400.0,400.4
2025-04-09T23:27:14.323302,402.64,403.14,402.36,402.71
2025-04-09T23:42:14.323302,402.76,403.23,402.17,402.72
2025-04-09T23:57:14.323302,402.53,402.73,402.17,402.48
2025-04-10T00:12:14.323302,402.02,402.68,401.38,402.03
2025-04-10T00:27:14.323302,402.83,403.19,402.6,402.87
2025-04-10T00:42:14.323302,402.88,403.55,402.64,403.02
2025-04-10T00:57:14.323302,402.49,402.72,401.91,402.37
2025-04-10T01:12:14.323302,404.0,406.5,403.5,405.3
2025-04-10T01:27:14.323302,406.3,407.0,400.0,401.9
